iter	Passed	Remaining
0	126	126771
1	128	64307
2	130	43350
3	131	32819
4	133	26485
5	134	22288
6	135	19278
7	137	17029
8	138	15277
9	140	13951
10	142	12828
11	144	11910
12	146	11101
13	147	10402
14	149	9800
15	150	9269
16	152	8835
17	154	8428
18	158	8195
19	160	7862
20	161	7550
21	163	7266
22	165	7010
23	166	6787
24	168	6571
25	170	6401
26	172	6225
27	174	6060
28	176	5893
29	177	5739
30	179	5597
31	181	5479
32	182	5349
33	183	5224
34	186	5130
35	188	5034
36	189	4941
37	191	4845
38	192	4752
39	194	4663
40	195	4578
41	197	4501
42	198	4425
43	201	4375
44	204	4330
45	206	4275
46	207	4211
47	209	4148
48	210	4088
49	212	4030
50	213	3972
51	215	3926
52	217	3890
53	219	3844
54	221	3800
55	223	3761
56	225	3725
57	226	3686
58	228	3649
59	231	3627
60	233	3598
61	235	3564
62	237	3529
63	238	3493
64	240	3459
65	242	3426
66	243	3390
67	245	3359
68	246	3332
69	248	3300
70	249	3267
71	251	3237
72	252	3205
73	253	3173
74	254	3143
75	256	3114
76	257	3084
77	258	3056
78	260	3038
79	262	3018
80	263	2993
81	265	2967
82	265	2935
83	266	2911
84	268	2887
85	269	2865
86	271	2844
87	272	2823
88	274	2805
89	275	2789
90	277	2775
91	279	2762
92	281	2748
93	283	2736
94	285	2723
95	287	2711
96	290	2704
97	292	2695
98	295	2686
99	297	2675
100	299	2665
101	301	2654
102	305	2658
103	307	2649
104	309	2639
105	311	2629
106	314	2622
107	316	2613
108	318	2604
109	321	2599
110	324	2596
111	326	2587
112	328	2578
113	330	2571
114	332	2562
115	335	2555
116	337	2546
117	339	2538
118	341	2528
119	343	2518
120	345	2507
121	346	2495
122	349	2491
123	351	2486
124	354	2479
125	356	2471
126	357	2459
127	359	2449
128	361	2442
129	364	2436
130	366	2430
131	368	2423
132	370	2414
133	372	2406
134	374	2397
135	376	2390
136	378	2383
137	380	2379
138	383	2374
139	385	2367
140	387	2360
141	388	2349
142	391	2344
143	393	2338
144	395	2333
145	398	2329
146	400	2324
147	402	2316
148	404	2309
149	406	2302
150	408	2298
151	410	2292
152	413	2287
153	415	2282
154	417	2278
155	419	2271
156	421	2265
157	424	2261
158	427	2260
159	429	2255
160	431	2246
161	432	2239
162	434	2232
163	436	2226
164	439	2223
165	441	2217
166	443	2213
167	445	2207
168	447	2200
169	449	2194
170	451	2189
171	454	2186
172	456	2183
173	458	2177
174	460	2171
175	462	2165
176	464	2159
177	466	2153
178	468	2150
179	471	2146
180	473	2141
181	475	2135
182	477	2129
183	479	2125
184	481	2119
185	483	2115
186	485	2111
187	487	2105
188	489	2100
189	491	2094
190	493	2090
191	495	2085
192	497	2081
193	499	2076
194	502	2072
195	504	2069
196	507	2067
197	509	2063
198	511	2057
199	514	2059
200	517	2055
201	519	2050
202	520	2045
203	522	2040
204	524	2035
205	527	2033
206	530	2030
207	532	2026
208	534	2022
209	536	2017
210	538	2014
211	541	2012
212	544	2011
213	547	2009
214	549	2006
215	551	2002
216	554	1999
217	556	1994
218	558	1993
219	561	1990
220	563	1987
221	566	1984
222	568	1981
223	571	1981
224	574	1978
225	576	1974
226	578	1970
227	580	1965
228	582	1961
229	584	1957
230	587	1956
231	590	1953
232	592	1948
233	593	1944
234	596	1940
235	598	1936
236	600	1931
237	602	1929
238	604	1925
239	606	1921
240	609	1918
241	611	1914
242	613	1911
243	615	1907
244	618	1905
245	620	1902
246	622	1899
247	624	1895
248	627	1891
249	629	1887
250	631	1885
251	634	1883
252	637	1881
253	639	1878
254	641	1874
255	643	1871
256	646	1869
257	649	1868
258	651	1865
259	654	1861
260	656	1858
261	658	1855
262	661	1853
263	663	1851
264	666	1847
265	668	1844
266	670	1840
267	672	1837
268	675	1835
269	678	1833
270	680	1830
271	682	1827
272	685	1824
273	687	1822
274	690	1819
275	692	1816
276	695	1814
277	698	1813
278	701	1812
279	704	1811
280	708	1811
281	710	1809
282	713	1807
283	716	1805
284	718	1803
285	721	1801
286	723	1798
287	726	1795
288	728	1791
289	730	1787
290	732	1784
291	734	1781
292	737	1778
293	739	1776
294	742	1773
295	744	1771
296	747	1770
297	750	1768
298	753	1766
299	755	1763
300	758	1760
301	760	1757
302	763	1755
303	765	1753
304	768	1751
305	771	1748
306	773	1745
307	775	1743
308	779	1742
309	781	1739
310	784	1738
311	787	1735
312	789	1733
313	792	1732
314	797	1734
315	800	1733
316	804	1732
317	807	1731
318	810	1730
319	813	1728
320	818	1730
321	821	1729
322	825	1730
323	828	1729
324	831	1727
325	834	1725
326	837	1724
327	841	1723
328	844	1722
329	846	1719
330	849	1716
331	852	1714
332	856	1715
333	859	1712
